ExpUnit,Trt,Variety,BRAND,MG,HERB_Trait,SEED_TREATMENT,Herbicide,Rep,Entry,Run ,Subsample,Rating,Illevo_Inj
1842,80,GH2788X Brand,Golden Harvest,2.7,RR2X,"Clariva Complete, Mertect",sulf,3,1842,2,1,3,
1880,118,LS 20X963N,Legend Seeds,2,RR2X,"YP Pro, Preside, Quickroots",sulf,3,1880,2,1,3,
707,50,DSR-2909/R2Y,Dairyland,2.9,RR2Y,"CruiserMaxx, Optimize",metr,1,707,1,2,3,
770,207,LS 1527LLN,Legend Seeds,1.5,LL,"YP Pro, Preside, Quickroots",metr,1,770,1,2,3,
790,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",metr,1,790,1,2,3,
805,148,8146R2Y,Munson,1.4,RR2Y,Intego Suite,metr,1,805,1,2,3,
835,178,ER18090,ProHarvest ,0.9,RR2Y,"CruiserMaxx, Vibrance",metr,1,835,1,2,3,
1542,224,SVX 18T05,PROSeeds,0.7,CN,CruiserMaxx,sulf,1,1542,1,2,3,
1889,127,LS 2880NHP,Legend Seeds,2.8,CN,None,sulf,3,1889,1,2,3,
790,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",metr,1,790,1,3,3,
793,136,LGS1635RX,LG Seeds,1.6,RR2X,"AgriSheild F/I, ILeVO",metr,1,793,1,3,3,
1389,69,HS 22X80,FS HiSOY,2.2,RR2X,"Acceleron, Cue, IleVO",sulf,1,1389,1,3,3,
1390,70,HS 23X70,FS HiSOY,2.3,RR2X,"Acceleron, Cue, IleVO",sulf,1,1390,1,3,3,
1391,71,HS 24X80,FS HiSOY,2.4,RR2X,"Acceleron, Cue, IleVO",sulf,1,1391,1,3,3,
1392,72,HS 25X70,FS HiSOY,2.5,RR2X,"Acceleron, Cue, IleVO",sulf,1,1392,1,3,3,
408,194,RS188NX,Renk,1.8,RR2X,CruiserMaxx,ctrl,2,408,2,1,4,
604,168,7144,NuTech,1.4,GT,SmartCote Supreme,ctrl,3,604,2,1,4,
745,88,1173R2X,Jung,1.7,RR2X,Acceleron F/I,metr,1,745,1,1,4,no
750,93,1243R2X,Jung,2.4,RR2X,Acceleron F/I,metr,1,750,1,1,4,no
803,146,8087R2Y,Munson,0.8,RR2Y,Intego Suite,metr,1,803,1,1,4,yes
810,153,8247R2Y,Munson,2.4,RR2Y,Intego Suite,metr,1,810,1,1,4,no
809,152,9229RR2X,Munson,2.2,RR2X,Intego Suite,metr,1,809,1,1,4,no
679,21,AG24X9,Asgrow,2.4,RR2X,Acceleron F/I,metr,1,679,1,1,4,no
680,22,AG27X9,Asgrow,2.7,RR2X,Acceleron F/I,metr,1,680,1,1,4,no
791,134,C1414RX,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",metr,1,791,1,1,4,no
792,135,C1428R2,LG Seeds,1.4,RR2Y,"AgriSheild F/I, ILeVO",metr,1,792,1,1,4,yes
794,137,C1838RX,LG Seeds,1.8,RR2X,"AgriSheild F/I, ILeVO",metr,1,794,1,1,4,yes
685,28,CB22R88,Cornelius,2.2,RR2Y,Profit Guard Plus,metr,1,685,1,1,4,no
707,50,DSR-2909/R2Y,Dairyland,2.9,RR2Y,"CruiserMaxx, Optimize",metr,1,707,1,1,4,no
665,3,G1850RX,AgriGold ,1.8,RR2X,"AgriSheild F/I, ILeVO",metr,1,665,1,1,4,yes
724,67,HS 18X70,FS HiSOY,1.8,RR2X,"Acceleron, Cue, IleVO",metr,1,724,1,1,4,no
796,139,LGS2007RX,LG Seeds,2,RR2X,"AgriSheild F/I, ILeVO",metr,1,796,1,1,4,no
783,126,LS 27R524N,Legend Seeds,2.7,RR2Y,"YP Pro, Preside, Quickroots",metr,1,783,1,1,4,no
785,128,LS 28C726N,Legend Seeds,2.8,CN,"YP Pro, Preside, Quickroots",metr,1,785,1,1,4,yes
832,175,O'SOY2500GT,O'Brien,2.5,GT,EclipseUS Trio IM,metr,1,832,1,1,4,no
713,56,S21XT49,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",metr,1,713,1,1,4,yes
709,52,SX18814XT,Dyna-Gro,1.4,RR2X,"Equity VIP, Clariva",metr,1,709,1,1,4,no
1055,177,25G8,Power Plus ,2.5,GT,"ILeVO, PowerShield",metr,2,1055,1,1,4,no
1024,146,8087R2Y,Munson,0.8,RR2Y,Intego Suite,metr,2,1024,1,1,4,yes
1031,153,8247R2Y,Munson,2.4,RR2Y,Intego Suite,metr,2,1031,1,1,4,no
901,22,AG27X9,Asgrow,2.7,RR2X,Acceleron F/I,metr,2,901,1,1,4,no
1012,134,C1414RX,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",metr,2,1012,1,1,4,no
908,30,CB24R82,Cornelius,2.4,RR2Y,Profit Guard Plus,metr,2,908,1,1,4,yes
912,34,CB27X81,Cornelius,2.7,RR2X,Profit Guard Plus,metr,2,912,1,1,4,yes
923,45,DSR-1870/R2Y,Dairyland,1.8,RR2Y,"CruiserMaxx, Optimize",metr,2,923,1,1,4,no
925,47,DSR-2110/R2Y,Dairyland,2.1,RR2Y,"CruiserMaxx, Optimize",metr,2,925,1,1,4,no
1056,178,ER18090,ProHarvest ,0.9,RR2Y,"CruiserMaxx, Vibrance",metr,2,1056,1,1,4,no
888,6,G2250RX,AgriGold ,2.2,RR2X,"AgriSheild F/I, ILeVO",metr,2,888,1,1,4,no
954,76,GH1915X Brand,Golden Harvest,1.9,RR2X,"Clariva Complete, Mertect",metr,2,954,1,1,4,no
1017,139,LGS2007RX,LG Seeds,2,RR2X,"AgriSheild F/I, ILeVO",metr,2,1017,1,1,4,yes
987,109,LS 1380HP,Legend Seeds,1.3,CN,CruiserMaxx,metr,2,987,1,1,4,no
991,207,LS 1527LLN,Legend Seeds,1.5,LL,"YP Pro, Preside, Quickroots",metr,2,991,1,1,4,no
973,95,LS-0738N RR2X,Legacy Seeds,0.7,RR2X,"L-Coat Total, Excalibre",metr,2,973,1,1,4,no
1051,173,O'SOY1901GT,O'Brien,1.9,GT,EclipseUS Trio IM,metr,2,1051,1,1,4,no
929,51,S14XT98,Dyna-Gro,1.4,RR2X,"Equity VIP, Clariva",metr,2,929,1,1,4,no
1245,146,8087R2Y,Munson,0.8,RR2Y,Intego Suite,metr,3,1245,1,1,4,no
1122,22,AG27X9,Asgrow,2.7,RR2X,Acceleron F/I,metr,3,1122,1,1,4,yes
1126,27,BG8210RR2X,BioGene,2.1,RR2X,Arma,metr,3,1126,1,1,4,no
1144,45,DSR-1870/R2Y,Dairyland,1.8,RR2Y,"CruiserMaxx, Optimize",metr,3,1144,1,1,4,no
1147,48,DSR-2330/R2Y,Dairyland,2.3,RR2Y,"CruiserMaxx, Optimize",metr,3,1147,1,1,4,no
1277,178,ER18090,ProHarvest ,0.9,RR2Y,"CruiserMaxx, Vibrance",metr,3,1277,1,1,4,no
1169,70,HS 23X70,FS HiSOY,2.3,RR2X,"Acceleron, Cue, IleVO",metr,3,1169,1,1,4,yes
